"Obs","C","S","W","Wt","Sa"
1,2,3,28.3,3.05,8
2,3,3,26,2.6,4
3,3,3,25.6,2.15,0
4,4,2,21,1.85,0
5,2,3,29,3,1
6,1,2,25,2.3,3
7,4,3,26.2,1.3,0
8,2,3,24.9,2.1,0
9,2,1,25.7,2,8
10,2,3,27.5,3.15,6
11,1,1,26.1,2.8,5
12,3,3,28.9,2.8,4
13,2,1,30.3,3.6,3
14,2,3,22.9,1.6,4
15,3,3,26.2,2.3,3
16,3,3,24.5,2.05,5
17,2,3,30,3.05,8
18,2,3,26.2,2.4,3
19,2,3,25.4,2.25,6
20,2,3,25.4,2.25,4
21,4,3,27.5,2.9,0
22,4,3,27,2.25,3
23,2,2,24,1.7,0
24,2,1,28.7,3.2,0
25,3,3,26.5,1.97,1
26,2,3,24.5,1.6,1
27,3,3,27.3,2.9,1
28,2,3,26.5,2.3,4
29,2,3,25,2.1,2
30,3,3,22,1.4,0
31,1,1,30.2,3.28,2
32,2,2,25.4,2.3,0
33,2,1,24.9,2.3,6
34,4,3,25.8,2.25,10
35,3,3,27.2,2.4,5
36,2,3,30.5,3.32,3
37,4,3,25,2.1,8
38,2,3,30,3,9
39,2,1,22.9,1.6,0
40,2,3,23.9,1.85,2
41,2,3,26,2.28,3
42,2,3,25.8,2.2,0
43,3,3,29,3.28,4
44,1,1,26.5,2.35,0
45,3,3,22.5,1.55,0
46,2,3,23.8,2.1,0
47,3,3,24.3,2.15,0
48,2,1,26,2.3,14
49,4,3,24.7,2.2,0
50,2,1,22.5,1.6,1
51,2,3,28.7,3.15,3
52,1,1,29.3,3.2,4
53,2,1,26.7,2.7,5
54,4,3,23.4,1.9,0
55,1,1,27.7,2.5,6
56,2,3,28.2,2.6,6
57,4,3,24.7,2.1,5
58,2,1,25.7,2,5
59,2,1,27.8,2.75,0
60,3,1,27,2.45,3
61,2,3,29,3.2,10
62,3,3,25.6,2.8,7
63,3,3,24.2,1.9,0
64,3,3,25.7,1.2,0
65,3,3,23.1,1.65,0
66,2,3,28.5,3.05,0
67,2,1,29.7,3.85,5
68,3,3,23.1,1.55,0
69,3,3,24.5,2.2,1
70,2,3,27.5,2.55,1
71,2,3,26.3,2.4,1
72,2,3,27.8,3.25,3
73,2,3,31.9,3.33,2
74,2,3,25,2.4,5
75,3,3,26.2,2.22,0
76,3,3,28.4,3.2,3
77,1,2,24.5,1.95,6
78,2,3,27.9,3.05,7
79,2,2,25,2.25,6
80,3,3,29,2.92,3
81,2,1,31.7,3.73,4
82,2,3,27.6,2.85,4
83,4,3,24.5,1.9,0
84,3,3,23.8,1.8,0
85,2,3,28.2,3.05,8
86,3,3,24.1,1.8,0
87,1,1,28,2.62,0
88,1,1,26,2.3,9
89,3,2,24.7,1.9,0
90,2,3,25.8,2.65,0
91,1,1,27.1,2.95,8
92,2,3,27.4,2.7,5
93,3,3,26.7,2.6,2
94,2,1,26.8,2.7,5
95,1,3,25.8,2.6,0
96,4,3,23.7,1.85,0
97,2,3,27.9,2.8,6
98,2,1,30,3.3,5
99,2,3,25,2.1,4
100,2,3,27.7,2.9,5
101,2,3,28.3,3,15
102,4,3,25.5,2.25,0
103,2,3,26,2.15,5
104,2,3,26.2,2.4,0
105,3,3,23,1.65,1
106,2,2,22.9,1.6,0
107,2,3,25.1,2.1,5
108,3,1,25.9,2.55,4
109,4,1,25.5,2.75,0
110,2,1,26.8,2.55,0
111,2,1,29,2.8,1
112,3,3,28.5,3,1
113,2,2,24.7,2.55,4
114,2,3,29,3.1,1
115,2,3,27,2.5,6
116,4,3,23.7,1.8,0
117,3,3,27,2.5,6
118,2,3,24.2,1.65,2
119,4,3,22.5,1.47,4
120,2,3,25.1,1.8,0
121,2,3,24.9,2.2,0
122,2,3,27.5,2.63,6
123,2,1,24.3,2,0
124,2,3,29.5,3.02,4
125,2,3,26.2,2.3,0
126,2,3,24.7,1.95,4
127,3,2,29.8,3.5,4
128,4,3,25.7,2.15,0
129,3,3,26.2,2.17,2
130,4,3,27,2.63,0
131,3,3,24.8,2.1,0
132,2,1,23.7,1.95,0
133,2,3,28.2,3.05,11
134,2,3,25.2,2,1
135,2,2,23.2,1.95,4
136,4,3,25.8,2,3
137,4,3,27.5,2.6,0
138,2,2,25.7,2,0
139,2,3,26.8,2.65,0
140,3,3,27.5,3.1,3
141,3,1,28.5,3.25,9
142,2,3,28.5,3,3
143,1,1,27.4,2.7,6
144,2,3,27.2,2.7,3
145,3,3,27.1,2.55,0
146,2,3,28,2.8,1
147,2,1,26.5,1.3,0
148,3,3,23,1.8,0
149,3,2,26,2.2,3
150,3,2,24.5,2.25,0
151,2,3,25.8,2.3,0
152,4,3,23.5,1.9,0
153,4,3,26.7,2.45,0
154,3,3,25.5,2.25,0
155,2,3,28.2,2.87,1
156,2,1,25.2,2,1
157,2,3,25.3,1.9,2
158,3,3,25.7,2.1,0
159,4,3,29.3,3.23,12
160,3,3,23.8,1.8,6
161,2,3,27.4,2.9,3
162,2,3,26.2,2.02,2
163,2,1,28,2.9,4
164,2,1,28.4,3.1,5
165,2,1,33.5,5.2,7
166,2,3,25.8,2.4,0
167,3,3,24,1.9,10
168,2,1,23.1,2,0
169,2,3,28.3,3.2,0
170,2,3,26.5,2.35,4
171,2,3,26.5,2.75,7
172,3,3,26.1,2.75,3
173,2,2,24.5,2,0
