country,continent,year,lifeExp,pop,gdpPercap,NewCasesOfBreastCancerIn2002,AlcoholComsumption,BloodPressure,BodyMassIndex,Cholestorol,Smoking
Afghanistan,Asia,2002,42.129,25268405,726.7340548,26.8,0.02,124.2085,20.65274,4.29517,NA
Albania,Europe,2002,75.651,3508512,4604.211737,57.4,6.68,129.0609,25.27082,4.918646,4
Algeria,Africa,2002,70.994,31287142,5288.040382,23.5,0.96,130.4024,25.69948,4.848951,0.3
Angola,Africa,2002,41.003,10866106,2773.287312,23.1,5.4,129.9282,22.26093,4.499115,NA
Argentina,Americas,2002,74.34,38331121,8797.640716,73.9,10,119.6538,26.7046,5.143871,25.4
Australia,Oceania,2002,80.37,19546792,30687.75473,83.2,10.02,120.5113,26.25957,5.326858,21.8
Austria,Europe,2002,78.98,8148312,32417.60769,70.5,13.24,125.8685,24.83051,5.381785,40.1
Bahrain,Asia,2002,74.795,656397,23403.55927,40.2,3.66,132.4395,27.96036,5.204952,2.9
Bangladesh,Asia,2002,62.013,135656790,1136.39043,16.6,0.17,124.5601,19.72414,4.400593,3.8
Belgium,Europe,2002,78.32,10311970,30485.88375,92,10.77,124.8811,25.12181,5.454941,24.1
Benin,Africa,2002,54.406,7026113,1372.877931,28.1,2.15,129.6162,23.14637,4.29748,NA
Bolivia,Americas,2002,63.883,8445134,3413.26269,24.7,5.12,122.9154,26.1348,4.745852,29.2
Bosnia and Herzegovina,Europe,2002,74.09,4165416,6018.975239,58.9,9.63,133.1459,25.96649,4.759707,35.1
Botswana,Africa,2002,46.634,1630347,11003.60508,33.4,7.96,132.4681,25.52204,4.72277,NA
Brazil,Americas,2002,71.006,179914212,8131.212843,46,9.16,125.8598,25.36366,4.899372,NA
Bulgaria,Europe,2002,72.14,7661799,7696.777725,46.2,12.44,129.3342,25.24871,5.095784,27.8
Burkina Faso,Africa,2002,50.65,12251209,1037.645221,30.6,6.98,129.2223,21.12089,4.127278,11.2
Burundi,Africa,2002,47.36,7021078,446.4035126,19.5,9.47,131.8824,20.81771,4.170466,NA
Cambodia,Asia,2002,56.752,12926707,896.2260153,21.5,4.77,117.6568,21.08197,4.443956,6.5
Cameroon,Africa,2002,49.856,15929988,1934.011449,29.7,7.57,125.9758,23.99221,4.359665,2.2
Canada,Americas,2002,79.77,31902268,33328.96507,84.3,9.77,120.5054,26.29888,5.263165,18.9
Chad,Africa,2002,50.525,8835739,1156.18186,16.5,4.38,126.8861,21.18393,4.14814,2.6
Chile,Americas,2002,77.86,15497046,10778.78385,43.9,8.55,126.4672,27.13405,5.088821,33.6
China,Asia,2002,72.028,1280400000,3119.280896,18.7,5.91,123.3793,22.67688,4.451926,3.7
Colombia,Americas,2002,71.682,41008227,5755.259962,30.3,6.17,123.3725,25.88257,5.016418,NA
Comoros,Africa,2002,62.974,614382,1075.811558,19.5,0.36,130.3333,22.08826,4.379765,13.5
Costa Rica,Americas,2002,78.123,3834934,7723.447195,30.9,5.55,121.6703,26.29537,4.884666,7.3
Croatia,Europe,2002,74.876,4481020,11628.38895,62.1,15.11,131.4386,24.78217,5.093568,29.1
